id,name,url,calories per 100 grams,teaspoon,tablespoon,cup,slice,single
11110581082,גבינת עמק קלאסית,,344,,,,25,
37600309417,חמאת בוטנים,https://images.openfoodfacts.org/images/products/003/760/030/9417/front_he.3.400.jpg,592.66667,6,20,340,,
44000001308,לחמית כפרית,,460,,,,,100
74261155106,רוטב וורצ'סטר טבעוני,,26.7,5,15,240,,
96086001512,עוגיות בטעם לימון,,402,,,,,40
197644898404,גומי,https://images.openfoodfacts.org/images/products/019/764/489/8404/front_en.85.400.jpg,344,,,,,100
630456002343,טונה בשמן,,126,5,15,240,,
693493206174,קרקר דגנים טבעוני,https://images.openfoodfacts.org/images/products/069/349/320/6174/front_he.3.400.jpg,475,,,,,100
693493210317,סרדינים בשמן זית,,182,5,15,240,,
729001082692,פיתה אסלית,,238,,,,,100
787269675100,סמאש ג'רקי,,303,,,,,100
811250034758,רוטב טריאקי,,136,5,15,240,,
856591000987,מקלונים בטעם שום בזיליקום,,441,,,,,100
11710189,סלט איקרה לבנה,https://images.openfoodfacts.org/images/products/000/001/171/0189/front_en.3.400.jpg,330,5,15,200,,
1770072211992,חטיף במבה אלפס,https://images.openfoodfacts.org/images/products/177/007/221/1992/front_he.6.400.jpg,477,,,,,40
1770072212227,אבקת חלבון שוקולד קרמל ובייגלה,https://images.openfoodfacts.org/images/products/177/007/221/2227/front_he.3.400.jpg,390.9090909,,8,80,,
1908184300017,פרלין לוז,https://images.openfoodfacts.org/images/products/190/818/430/0017/front_en.3.400.jpg,538,,,,,100
26505442,קניידלך,https://images.openfoodfacts.org/images/products/000/002/650/5442/front_en.3.400.jpg,119,,,,,100
3560071372187,מייפל,https://images.openfoodfacts.org/images/products/356/007/137/2187/front_he.3.400.jpg,272,,,,,100
3560071600211,קונפיטורת תות שדה,,257,,,,,100
3662444002766,בריוש צרפתי פרוס,https://images.openfoodfacts.org/images/products/366/244/400/2766/front_he.5.400.jpg,346,,,,,100
4017100198151,Hit עוגיות בטעם וניל,,507,,,,,40
4023800122105,מרציפן נקי,https://images.openfoodfacts.org/images/products/402/380/012/2105/front_en.7.400.jpg,431,,,,,100
4760161882803,פסטה פנה ריזי,,154,,8,80,,
4796019790013,שמן קוקוס אורגני,,900,5,15,240,,
4820171991770,ורניקי,,187,,,,,100
5000159558792,חטיף שוקולד מארס,https://images.openfoodfacts.org/images/products/500/015/955/8792/front_he.3.400.jpg,443,,,,,40
5701397312381,צ'יפס בטעם מלח ופלפל,https://images.openfoodfacts.org/images/products/570/139/731/2381/front_he.3.400.jpg,492,,,,,100
5901483084769,קונפיטורת פטל,https://images.openfoodfacts.org/images/products/590/148/308/4769/front_yi.3.400.jpg,289,,,,,100
5901576058615,פורל מעושן,,198,,,,,100
7229110579463,שוקולד חלב מעולה עם שברי אגוזי חוז,https://images.openfoodfacts.org/images/products/722/911/057/9463/front_en.3.400.jpg,538,,,,,100
7290000041445,קוטג' 5% By תנובה,,95,5,15,200,,
7290000044248,רויון,https://images.openfoodfacts.org/images/products/729/000/004/4248/front_ru.3.400.jpg,45,,,,,100
7290000047898,לאבנה אסלית,,127,,,,,100
7290000052311,"פרוסות גבינה חצי קשה, 15% שומן",,255,5,15,200,,
7290000053660,יוגורט ביו,,55,5,15,200,,
7290000056760,גבינה עמק קלאסית,https://images.openfoodfacts.org/images/products/729/000/005/6760/front_en.13.400.jpg,344,,,,25,
7290000057132,יוגורט ביו 1.5%,https://images.openfoodfacts.org/images/products/729/000/005/7132/front_en.3.400.jpg,55.5,5,15,200,,
7290000060880,פסטה ספגטי,https://images.openfoodfacts.org/images/products/729/000/006/0880/front_he.7.400.jpg,351,,8,80,,
7290000064758,קוסקוס בייתי,,356,,,,,100
7290000066318,במבה,https://images.openfoodfacts.org/images/products/729/000/006/6318/front_he.29.400.jpg,535,,,,,100
7290000072623,קטשופ,https://images.openfoodfacts.org/images/products/729/000/007/2623/front_en.28.400.jpg,109,5,15,240,,
7290000075693,בריוש בטעם שוקולד,,377,,,,,100
7290000107295,ברוקולי קפוא,https://images.openfoodfacts.org/images/products/729/000/010/7295/front_he.3.400.jpg,24,,,,,100
7290000110851,כיפלי טבעות בצל,https://images.openfoodfacts.org/images/products/729/000/011/0851/front_en.5.400.jpg,506,,,,,100
7290000111186,מיונז,,600,5,15,240,,
7290000130255,קמח מצות,,369,,8,80,,
7290000139135,שלווה XL חיטה תפוחה מתוקה,,374,,,,,100
7290000160498,ממרח פסטו בזיליקום,,328,6,20,340,,
7290000169538,Instant Tomato Soup With Croutons מרק עגבניות עם קרוטונים,https://images.openfoodfacts.org/images/products/729/000/016/9538/front_ru.6.400.jpg,405,,,,,100
7290000174723,שוקולית,https://images.openfoodfacts.org/images/products/729/000/017/4723/front_en.20.400.jpg,58,,,,,100
7290000181103,עד חצות סגול,https://images.openfoodfacts.org/images/products/729/000/018/1103/front_fr.18.400.jpg,485.0299401,,,,,100
7290000208244,רוטב שקשוקה,,52,5,15,240,,
7290000209722,רוטב עגבניות,https://images.openfoodfacts.org/images/products/729/000/020/9722/front_fr.4.400.jpg,88,5,15,240,,
7290000209906,רוטב עגבניות קצוצות בתוספת בצל,,44,5,15,240,,
7290000272726,חומץ 5%,https://images.openfoodfacts.org/images/products/729/000/027/2726/front_en.4.400.jpg,1,,,,,100
7290000319896,קבנוס קלאסי,,359,,,,,100
7290000363738,חטיפי מיני קבנוס,https://images.openfoodfacts.org/images/products/729/000/036/3738/front_en.4.400.jpg,339,,,,,100
7290000369037,סלט קוביות בולגרית,,282,5,15,200,,
7290000408316,יוגורט ביו שטראוס 3 אחו,https://images.openfoodfacts.org/images/products/729/000/040/8316/front_he.3.400.jpg,70,5,15,200,,
7290000411125,דבש פרחי איקליפטוס,,330,6,20,340,,
7290000416021,קרם מובחר למריחה,https://images.openfoodfacts.org/images/products/729/000/041/6021/front_fr.3.400.jpg,504,6,20,340,,
7290000446547,חמאת בוטנים טבעית,https://images.openfoodfacts.org/images/products/729/000/044/6547/front_en.19.400.jpg,617,6,20,340,,
7290000481883,לחמניות ארוכות,,270.6666667,,,,,100
7290000481913,לחמניה קלויה,https://images.openfoodfacts.org/images/products/729/000/048/1913/front_he.3.400.jpg,279,,,,,100
7290000498256,הלחמניות,,276,,,,,100
7290000522319,חלב טרי מהגולן,https://images.openfoodfacts.org/images/products/729/000/052/2319/front_he.6.400.jpg,60,,,,,100
7290000522340,שמנת לבישול 15%,https://images.openfoodfacts.org/images/products/729/000/052/2340/front_he.4.400.jpg,162,,,,,100
7290000552118,מרגז נקניקיה חריפה בסגנון מרוקאי,,230,,,,25,
7290000554471,גלילה מוצרלה,https://images.openfoodfacts.org/images/products/729/000/055/4471/front_he.3.400.jpg,282,,,,,100
7290000572802,טחינה אורגנית,,634,5,15,200,,
7290000574165,חלה מועשרת,,301,,,,25,
7290000574172,לחם מלא,,200,,,,25,
7290000591742,קמח מצות לבן,,383,,8,80,,
7290000662817,סלמון מעושן,,168,,,,,100
7290000996073,‏סלמון כבוש,,164,,,,,100
